,PC2
poly_molecular_weight_sidechainfeaturizer_sum,0.7160108530731112
poly_molecular_weight_sum_fullpolymerfeaturizer,0.4593297264595743
poly_topological_surface_area_sidechainfeaturizer_sum,0.27148812603478023
poly_molecular_weight_sum_backbonefeaturizer,-0.2510431630664085
drug_molecular_weight_sum_fullmolecularfeaturizer,0.2385822501512211
poly_topological_surface_area_sum_fullpolymerfeaturizer,0.1752435179087205
CONCENTRATION,0.1115726473696314
poly_topological_surface_area_sum_backbonefeaturizer,-0.09324492999354851
poly_smr_vsa5_sidechainfeaturizer_sum,0.07379179607869393
drug_topological_surface_area_sum_fullmolecularfeaturizer,-0.07022035884800538
drug_smr_vsa5_sum_fullmolecularfeaturizer,0.057649019853214294
poly_num_atoms_sidechainfeaturizer_sum,0.05014266112859191
poly_smr_vsa5_sum_fullpolymerfeaturizer,0.04293778006459292
poly_single_bonds_sidechainfeaturizer_sum,0.03522881242896328
poly_sp3_carbon_count_sidechainfeaturizer_sum,0.03393075460430342
